,TSNE_1,TSNE_2,label
C230517005_CELL3924_N1,-11.104977359839,-38.2050860901449,3
C230517005_CELL3960_N1,60.1124712642079,-18.6710431299735,1
C230517005_CELL3977_N1,-26.0155203695869,48.2086359557803,2
C230517005_CELL399_N3,-18.329419082237,46.780320457842,2
C230517005_CELL3_N1,31.6088142975409,16.8041155781492,1
C230517005_CELL400_N2,36.6030731916687,-4.87419456865368,1
C230517005_CELL4030_N1,45.1799108792759,28.3079970362043,1
C230517005_CELL4035_N1,60.1039101038982,-13.586759637297,1
C230517005_CELL403_N2,-20.5084040985738,-46.980467896146,3
C230517005_CELL4040_N1,-27.0159117297122,42.4592967897393,2
C230517005_CELL4047_N1,-15.623444635701,18.9630779373624,2
C230517005_CELL4050_N1,-11.5403527258292,22.0114686074297,2
C230517005_CELL405_N3,-13.8220763577034,-39.9947692742679,3
C230517005_CELL4066_N1,-34.4313438954021,7.53227307123875,0
C230517005_CELL4095_N1,-40.1020641847337,-34.1517514295703,3
C230517005_CELL4101_N1,23.0233954712415,21.2828224100356,1
C230517005_CELL4115_N1,32.0552849792033,-3.96498285701455,1
C230517005_CELL4135_N1,-34.6721284397187,-33.6005384925538,3
C230517005_CELL4137_N1,42.0006396120715,18.6586903390267,1
C230517005_CELL4140_N1,41.0786289990393,-25.1930078184788,1
C230517005_CELL4144_N1,-52.9506793192054,29.4498639367785,0
C230517005_CELL4149_N1,58.7428473343392,-20.1889162958055,1
C230517005_CELL4160_N1,54.9461531269195,14.6610910508328,1
C230517005_CELL4166_N1,10.6615893463004,-45.9711142258385,3
C230517005_CELL4168_N1,2.41751711399822,-11.2621080875458,3
C230517005_CELL4179_N1,0.720947676066106,-37.984805146429,3
C230517005_CELL4214_N1,53.1635056125178,-14.3967816961195,1
C230517005_CELL421_N2,-23.8785845216562,40.8894351245767,2
C230517005_CELL4230_N1,6.06780670499935,17.5652002040521,2
C230517005_CELL4246_N1,33.3062155821702,24.7906028590597,1
C230517005_CELL4249_N1,14.7739864946043,16.9996954998768,2
C230517005_CELL4262_N1,-11.845030280772,25.4652077729486,2
C230517005_CELL4294_N1,12.5072757800447,-37.1880828067091,3
C230517005_CELL4296_N1,4.30828597120005,26.7371103251814,2
C230517005_CELL4298_N1,16.3335648392618,-19.8509670101612,3
C230517005_CELL4337_N1,12.2959468504039,38.6602114778345,2
C230517005_CELL4339_N1,-17.9739922339918,9.81566079222678,0
C230517005_CELL4348_N1,-14.5727910293833,27.9811099899988,2
C230517005_CELL4349_N1,-21.3050932281219,-38.3648443385418,3
C230517005_CELL4358_N1,-27.1624613853069,-35.32853434149,3
C230517005_CELL4361_N1,55.3362512107078,14.1447227504062,1
C230517005_CELL4373_N1,36.490833782272,17.0160944024343,1
C230517005_CELL4379_N1,-2.70620446017324,-55.4011932461117,3
C230517005_CELL4386_N1,22.6441624404577,-28.5177390699116,3
C230517005_CELL439_N2,36.4317847875022,-4.86118183026052,1
C230517005_CELL4426_N1,42.9719067145668,-15.8413621741382,1
C230517005_CELL4435_N1,39.3254775611266,-1.91599782147217,1
C230517005_CELL4452_N1,17.9211509337314,-46.8097305215991,3
C230517005_CELL4467_N1,20.7140543580585,34.5325066894247,2
C230517005_CELL4469_N1,-2.00401298744177,-43.0016224096135,3
C230517005_CELL446_N1,49.5478766958329,-8.74705384472355,1
C230517005_CELL4471_N1,-16.6531964361276,-36.1165932389554,3
C230517005_CELL4485_N1,66.2462369074387,-17.4749588324624,1
C230517005_CELL4488_N1,3.31256059139568,-15.4545825268194,3
C230517005_CELL4518_N1,-4.85884715258153,-46.5754414343071,3
C230517005_CELL4521_N1,8.98839282662368,-13.4915517927807,3
C230517005_CELL4525_N1,-35.142186523662,9.92447785823439,0
C230517005_CELL4529_N1,32.473201154405,-4.6664436609467,1
C230517005_CELL4535_N1,66.2470749582007,-17.4745118482235,1
C230517005_CELL4628_N1,-28.9996528041473,-36.1048674993985,3
C230517005_CELL4633_N1,35.9728004080631,-13.1296589467847,1
C230517005_CELL4637_N1,9.17680623373485,-13.2944555752245,3
C230517005_CELL4656_N1,13.3141091009745,26.8175557557998,2
C230517005_CELL465_N2,31.6066091800327,24.3199727174329,1
C230517005_CELL4676_N1,-47.9004928115745,-14.6336845473525,0
C230517005_CELL470_N4,30.2315286111744,34.536985519419,2
C230517005_CELL4728_N1,-32.4396735165873,-39.1893651022557,3
C230517005_CELL4729_N1,-30.3352829241937,19.4202210835923,0
C230517005_CELL4740_N1,28.1039188391641,13.8618120674457,1
C230517005_CELL4741_N1,-25.7157685868163,35.3940230097638,2
C230517005_CELL4753_N1,30.2113886234602,-37.2814466964932,3
C230517005_CELL4760_N1,23.645407840338,36.7759426216453,2
C230517005_CELL4762_N1,-35.6464056851729,7.40780757355069,0
C230517005_CELL4769_N1,27.1051955617603,-3.66647170202153,1
C230517005_CELL4801_N1,-20.6913513700824,-47.0800515804146,3
C230517005_CELL481_N3,-21.2511018822004,41.5781710439788,2
C230517005_CELL4834_N1,16.1397987164161,44.7750858690592,2
C230517005_CELL4836_N1,-12.6756888397813,-38.5731350842527,3
C230517005_CELL4848_N1,-3.62946223018552,-21.8262394533473,3
C230517005_CELL4861_N1,21.1661339020813,-27.4281773334939,3
C230517005_CELL4891_N1,-53.7165137880475,15.4895389777307,0
C230517005_CELL4907_N1,25.8156488666455,17.359823206844,1
C230517005_CELL4952_N1,27.5167785544635,2.03258319070136,1
C230517005_CELL4967_N1,-18.4049304291014,-36.5493119954853,3
C230517005_CELL4975_N1,-35.3545093233326,-17.4575452563288,0
C230517005_CELL4977_N1,-14.221636809528,40.3790096998521,2
C230517005_CELL4986_N1,3.30028792475043,-32.3433419388323,3
C230517005_CELL4991_N1,23.705921236413,1.71691789270767,1
C230517005_CELL49_N2,31.3964186601172,17.2320423756433,1
C230517005_CELL506_N1,48.565060742072,-19.6471818427439,1
C230517005_CELL5071_N1,4.77820388669677,26.0909697099434,2
C230517005_CELL5078_N1,-22.4974534372486,29.8628068084076,2
